,ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
282,14696,Single,Male,10000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34.0,No
283,22005,Married,Female,70000.0,5,Partial College,Skilled Manual,No,3,5-10 Miles,Pacific,46.0,No
284,14544,Single,Male,10000.0,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,49.0,No
285,14312,Married,Female,60000.0,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45.0,No
286,29120,Single,Female,100000.0,1,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48.0,No
287,24187,Single,Female,30000.0,3,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,46.0,Yes
288,15758,Married,Male,130000.0,0,Graduate Degree,Management,Yes,0,5-10 Miles,Pacific,48.0,No
289,29094,Married,Male,30000.0,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,54.0,Yes
290,28319,Single,Female,60000.0,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,46.0,Yes
291,16406,Married,Male,40000.0,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38.0,Yes
292,20923,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42.0,Yes
293,11378,Single,Female,10000.0,1,High School,Manual,No,1,2-5 Miles,Europe,46.0,Yes
294,20851,Single,Male,20000.0,0,Partial College,Manual,No,1,2-5 Miles,Europe,36.0,Yes
295,21557,Single,Female,110000.0,0,Partial College,Management,Yes,3,10+ Miles,Pacific,32.0,Yes
296,26663,Single,Female,60000.0,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,39.0,Yes
297,11896,Married,Male,100000.0,1,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,36.0,Yes
298,14189,Married,Female,90000.0,4,High School,Professional,No,2,2-5 Miles,Europe,54.0,Yes
299,13136,Married,Female,30000.0,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,69.0,No
300,25906,Single,Female,10000.0,5,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62.0,No
302,26928,Single,Male,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,62.0,Yes
303,20897,Married,Female,30000.0,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40.0,No
304,28207,Married,Male,80000.0,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36.0,Yes
305,25923,Single,Male,10000.0,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58.0,No
306,11000,Married,Male,90000.0,2,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,40.0,Yes
307,20974,Married,Male,10000.0,2,Bachelors,Clerical,Yes,1,0-1 Miles,Europe,66.0,No
308,28758,Married,Male,40000.0,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35.0,Yes
309,11381,Married,Female,20000.0,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,47.0,Yes
310,17522,Married,Male,120000.0,4,Bachelors,Management,Yes,1,2-5 Miles,Pacific,47.0,No
311,21207,Married,Male,60000.0,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46.0,No
312,28102,Married,Male,20000.0,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,58.0,Yes
313,23105,Single,Male,40000.0,3,Partial High School,Clerical,No,2,5-10 Miles,Pacific,52.0,Yes
314,18740,Married,Male,80000.0,5,Bachelors,Professional,No,1,0-1 Miles,Pacific,47.0,Yes
315,21213,Single,Male,70000.0,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41.0,No
316,17352,Married,Male,50000.0,2,Graduate Degree,Management,Yes,1,5-10 Miles,Pacific,64.0,Yes
317,14154,Married,Male,30000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,35.0,Yes
318,19066,Married,Male,130000.0,4,Partial College,Professional,No,3,10+ Miles,Europe,54.0,No
319,11386,Married,Female,30000.0,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,45.0,No
320,20228,Married,Male,100000.0,0,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,40.0,Yes
321,16675,Single,Female,160000.0,0,Graduate Degree,Management,No,3,0-1 Miles,Pacific,47.0,Yes
322,16410,Single,Female,10000.0,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41.0,Yes
323,27760,Single,Female,40000.0,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,37.0,Yes
324,22930,Married,Male,90000.0,4,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,38.0,Yes
325,23780,Single,Male,40000.0,2,Partial College,Clerical,No,2,0-1 Miles,Europe,36.0,Yes
326,20994,Married,Female,20000.0,0,Bachelors,Clerical,No,0,0-1 Miles,Pacific,26.0,Yes
327,28379,Married,Male,30000.0,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40.0,No
328,14865,Single,Male,40000.0,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,36.0,No
329,12663,Married,Female,90000.0,5,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59.0,No
330,24898,Single,Female,80000.0,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32.0,No
331,19508,Married,Male,10000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30.0,No
332,11489,Single,Female,20000.0,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35.0,Yes
333,18160,Married,Male,130000.0,3,High School,Professional,Yes,4,5-10 Miles,Europe,51.0,Yes
334,25241,Married,Male,90000.0,2,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47.0,No
336,27165,Single,Male,20000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34.0,No
337,29424,Married,Male,10000.0,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32.0,No
338,15926,Single,Female,120000.0,3,High School,Professional,Yes,4,5-10 Miles,Europe,50.0,Yes
339,14554,Married,Male,20000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66.0,No
340,16468,Single,Male,30000.0,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,30.0,No
341,19174,Single,Female,30000.0,0,High School,Manual,No,1,2-5 Miles,Europe,32.0,Yes
342,19183,Single,Male,10000.0,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35.0,No
343,13683,Single,Female,30000.0,0,High School,Manual,No,1,2-5 Miles,Europe,32.0,No
344,17848,Single,Male,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,31.0,Yes
345,17894,Married,Female,20000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,50.0,Yes
346,25651,Married,Male,40000.0,1,Bachelors,Skilled Manual,No,0,0-1 Miles,Europe,43.0,Yes
347,22936,Single,Female,60000.0,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45.0,Yes
348,23915,Married,Male,20000.0,2,High School,Manual,Yes,2,0-1 Miles,Europe,42.0,No
349,24121,Single,Female,30000.0,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29.0,Yes
350,27878,Single,Male,20000.0,0,Partial College,Manual,No,0,0-1 Miles,Pacific,28.0,Yes
352,27941,Married,Female,80000.0,4,Partial College,Professional,Yes,2,2-5 Miles,Europe,53.0,No
353,26354,Single,Male,40000.0,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,38.0,Yes
354,14785,Single,Male,30000.0,1,Bachelors,Clerical,No,1,1-2 Miles,Europe,39.0,No
355,17238,Single,Male,80000.0,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32.0,No
356,23608,Married,Female,150000.0,3,High School,Professional,Yes,3,0-1 Miles,Europe,51.0,Yes
357,22538,Single,Female,10000.0,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,33.0,No
358,12332,Married,Male,90000.0,4,High School,Management,Yes,3,5-10 Miles,Europe,58.0,Yes
359,17230,Married,Male,80000.0,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,30.0,No
360,13082,Single,Male,130000.0,0,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,48.0,Yes
361,22518,Single,Female,30000.0,3,Partial College,Clerical,No,2,0-1 Miles,Europe,27.0,Yes
362,13687,Married,Male,40000.0,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,33.0,Yes
363,23571,Married,Female,40000.0,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,66.0,Yes
364,19305,Single,Female,10000.0,2,High School,Manual,Yes,1,0-1 Miles,Europe,38.0,Yes
366,17310,Married,Male,60000.0,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,Pacific,45.0,Yes
367,12133,Married,Female,130000.0,3,Partial College,Professional,Yes,3,5-10 Miles,Europe,50.0,Yes
368,25918,Single,Female,30000.0,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60.0,Yes
369,25752,Single,Female,20000.0,2,Partial College,Manual,No,1,0-1 Miles,Europe,53.0,Yes
370,17324,Married,Female,100000.0,4,Bachelors,Professional,Yes,1,10+ Miles,Pacific,46.0,No
372,12510,Married,Male,40000.0,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,43.0,Yes
373,25512,Single,Male,20000.0,0,High School,Manual,No,1,2-5 Miles,Europe,30.0,No
374,16179,Single,Female,80000.0,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,38.0,No
375,15628,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,89.0,No
376,20977,Married,Male,20000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64.0,Yes
377,18140,Married,Male,130000.0,3,Partial College,Professional,No,3,5-10 Miles,Europe,51.0,Yes
378,20417,Married,Male,30000.0,3,Partial College,Clerical,No,2,5-10 Miles,Pacific,56.0,No
379,18267,Married,Male,60000.0,3,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,43.0,No
380,13620,Single,Male,70000.0,0,Bachelors,Professional,No,3,10+ Miles,Pacific,30.0,Yes
381,22974,Married,Female,30000.0,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,69.0,No
382,13586,Married,Male,80000.0,4,Partial College,Professional,Yes,2,10+ Miles,Europe,53.0,No
383,17978,Married,Male,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
384,12581,Single,Female,10000.0,0,Partial College,Manual,No,1,0-1 Miles,Pacific,28.0,Yes
385,18018,Single,Male,30000.0,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43.0,No
387,13690,Single,Female,20000.0,0,Partial High School,Manual,No,2,1-2 Miles,Europe,34.0,Yes
388,12568,Married,Female,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64.0,No
389,13122,Married,Female,80000.0,0,Bachelors,Professional,Yes,1,1-2 Miles,Pacific,41.0,Yes
390,21184,Single,Male,70000.0,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38.0,No
391,26150,Single,Female,70000.0,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,41.0,Yes
392,24151,Single,Male,20000.0,1,Bachelors,Clerical,No,0,0-1 Miles,Europe,51.0,No
393,23962,Married,Female,10000.0,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,32.0,No
394,17793,Married,Female,40000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38.0,Yes
395,14926,Married,Male,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38.0,Yes
396,16163,Single,Male,60000.0,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38.0,Yes
397,21365,Married,Female,10000.0,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58.0,No
398,27771,Single,Male,30000.0,1,Bachelors,Clerical,Yes,1,1-2 Miles,Europe,39.0,Yes
399,26167,Single,Female,40000.0,2,Bachelors,Management,No,1,5-10 Miles,Pacific,53.0,Yes
400,25792,Single,Female,110000.0,3,Bachelors,Management,Yes,4,10+ Miles,Europe,53.0,No
401,11555,Married,Female,40000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,80.0,No
402,22381,Married,Male,10000.0,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44.0,No
403,17882,Married,Male,20000.0,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44.0,No
404,22174,Married,Male,30000.0,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,54.0,Yes
405,22439,Married,Female,30000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
406,18012,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41.0,No
407,27582,Single,Female,90000.0,2,Bachelors,Professional,No,0,0-1 Miles,Pacific,36.0,Yes
408,12744,Single,Female,40000.0,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,33.0,No
409,22821,Married,Female,130000.0,3,Partial College,Professional,Yes,4,0-1 Miles,Europe,52.0,No
410,20171,Married,Female,20000.0,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,46.0,Yes
411,11116,Married,Male,70000.0,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,43.0,No
412,20053,Single,Male,40000.0,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,34.0,No
413,25266,Single,Female,30000.0,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67.0,No
414,17960,Married,Female,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,35.0,Yes
415,13961,Married,Female,80000.0,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40.0,No
416,11897,Single,Male,60000.0,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,37.0,Yes
417,11139,Single,Female,30000.0,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67.0,No
418,11576,Married,Male,30000.0,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41.0,Yes
419,19255,Single,Male,10000.0,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,51.0,Yes
420,18153,Married,Female,100000.0,2,Bachelors,Management,Yes,4,10+ Miles,Europe,59.0,No
421,14547,Married,Male,10000.0,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51.0,No
422,24901,Single,Male,110000.0,0,Partial College,Management,No,3,10+ Miles,Pacific,32.0,Yes
423,27169,Single,Male,30000.0,0,High School,Manual,Yes,1,2-5 Miles,Europe,34.0,Yes
424,14805,Single,Female,10000.0,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43.0,No
425,15822,Married,Male,40000.0,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,67.0,No
426,19389,Single,Male,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,28.0,No
427,17048,Single,Female,90000.0,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36.0,Yes
428,22204,Married,Male,110000.0,4,Bachelors,Management,Yes,3,2-5 Miles,Pacific,48.0,No
429,12718,Single,Female,30000.0,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,31.0,No
430,15019,Single,Female,30000.0,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55.0,No
431,28488,Single,Male,20000.0,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,28.0,Yes
432,21891,Married,Female,110000.0,0,High School,Management,Yes,3,10+ Miles,Pacific,34.0,Yes
433,27814,Single,Female,30000.0,3,Partial College,Clerical,No,1,0-1 Miles,Europe,26.0,No
434,22175,Married,Female,30000.0,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,53.0,Yes
435,29447,Single,Female,10000.0,2,Bachelors,Clerical,No,1,2-5 Miles,Europe,68.0,No
436,19784,Married,Female,80000.0,2,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,50.0,Yes
437,27824,Single,Female,30000.0,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,28.0,Yes
438,24093,Single,Female,80000.0,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,40.0,Yes
439,19618,Married,Male,70000.0,5,Partial College,Skilled Manual,Yes,2,0-1 Miles,Pacific,44.0,No
440,21561,Single,Male,90000.0,0,Bachelors,Professional,No,3,10+ Miles,Pacific,34.0,Yes
442,26651,Single,Male,80000.0,4,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36.0,Yes
443,21108,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,43.0,Yes
444,12731,Single,Male,30000.0,0,High School,Manual,No,1,1-2 Miles,Europe,32.0,No
445,25307,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,1,1-2 Miles,Europe,32.0,Yes
446,14278,Married,Female,130000.0,0,Graduate Degree,Management,Yes,1,10+ Miles,Pacific,48.0,No
447,20711,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,1-2 Miles,Europe,32.0,Yes
449,12497,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42.0,No
450,16559,Single,Female,10000.0,2,High School,Manual,Yes,0,0-1 Miles,Europe,36.0,Yes
451,11585,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41.0,No
452,20277,Married,Female,30000.0,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,69.0,No
453,26765,Single,Female,70000.0,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,45.0,No
454,12389,Single,Male,30000.0,0,High School,Manual,No,1,2-5 Miles,Europe,34.0,No
455,13585,Married,Female,80000.0,4,Partial College,Professional,No,1,2-5 Miles,Europe,53.0,Yes
456,26385,Single,Male,120000.0,3,High School,Professional,No,4,5-10 Miles,Europe,50.0,No
457,12236,Married,Female,20000.0,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,65.0,No
458,21560,Married,Male,120000.0,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,32.0,Yes
459,21554,Single,Female,80000.0,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33.0,No
460,13662,Single,Male,20000.0,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,31.0,Yes
461,13089,Married,Female,120000.0,1,Bachelors,Management,Yes,2,0-1 Miles,Pacific,46.0,Yes
462,14791,Married,Female,40000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39.0,Yes
463,19331,Single,Male,20000.0,2,High School,Manual,Yes,1,0-1 Miles,Europe,40.0,No
464,17754,Single,Female,30000.0,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,46.0,Yes
465,11149,Married,Male,40000.0,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65.0,No
466,16549,Single,Female,30000.0,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47.0,Yes
467,24305,Single,Male,100000.0,1,Bachelors,Management,No,3,0-1 Miles,Pacific,46.0,Yes
468,18253,Married,Female,80000.0,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40.0,No
469,20147,Married,Female,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65.0,No
470,15612,Single,Male,30000.0,0,High School,Manual,No,1,1-2 Miles,Europe,28.0,No
471,28323,Single,Male,70000.0,0,Bachelors,Professional,No,2,5-10 Miles,Pacific,43.0,Yes
472,22634,Single,Female,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,38.0,Yes
473,15665,Married,Female,30000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47.0,Yes
474,27585,Married,Female,90000.0,2,Bachelors,Professional,No,0,0-1 Miles,Pacific,36.0,Yes
475,19748,Married,Male,20000.0,4,High School,Skilled Manual,No,2,1-2 Miles,Pacific,60.0,No
476,21974,Single,Female,70000.0,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,42.0,Yes
477,14032,Married,Male,70000.0,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50.0,Yes
478,22610,Married,Male,30000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,35.0,Yes
479,26984,Married,Male,40000.0,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,32.0,Yes
480,18294,Married,Female,90000.0,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,46.0,No
481,28564,Single,Female,40000.0,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33.0,Yes
482,28521,Single,Male,40000.0,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,36.0,Yes
483,15450,Married,Male,10000.0,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70.0,No
484,25681,Single,Female,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,31.0,Yes
485,19491,Single,Male,30000.0,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42.0,No
486,26415,Married,Female,90000.0,4,Partial High School,Skilled Manual,Yes,4,10+ Miles,Europe,58.0,No
487,12821,Married,Male,40000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39.0,No
488,15629,Single,Female,10000.0,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,34.0,No
489,27835,Married,Male,20000.0,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32.0,No
490,11738,Married,Male,60000.0,4,Bachelors,Professional,Yes,0,2-5 Miles,North America,46.0,No
491,25065,Married,Male,70000.0,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,48.0,No
492,26238,Single,Female,40000.0,3,Partial College,Clerical,Yes,1,1-2 Miles,North America,31.0,Yes
493,23707,Single,Male,70000.0,5,Bachelors,Management,Yes,3,10+ Miles,North America,60.0,Yes
494,27650,Married,Male,70000.0,4,High School,Professional,Yes,0,5-10 Miles,North America,51.0,No
495,24981,Married,Male,60000.0,2,Partial College,Professional,Yes,2,10+ Miles,North America,56.0,No
496,20678,Single,Female,60000.0,3,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,40.0,Yes
497,15302,Single,Female,70000.0,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34.0,Yes
498,26012,Married,Male,80000.0,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,48.0,Yes
499,26575,Single,Female,40000.0,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31.0,Yes
500,15559,Married,Male,60000.0,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47.0,No
501,19235,Married,Female,50000.0,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,34.0,No
502,15275,Married,Male,40000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,29.0,No
503,20339,Married,Female,130000.0,1,Bachelors,Management,Yes,4,2-5 Miles,North America,44.0,Yes
504,25405,Married,Male,70000.0,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38.0,Yes
505,15940,Married,Male,100000.0,4,Partial College,Professional,Yes,4,0-1 Miles,North America,40.0,No
506,25074,Married,Female,70000.0,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,42.0,Yes
507,24738,Married,Female,40000.0,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,51.0,Yes
508,16337,Married,Male,60000.0,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29.0,No
510,18613,Single,Male,70000.0,0,Bachelors,Professional,No,1,2-5 Miles,North America,37.0,Yes
512,18052,Married,Female,60000.0,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45.0,Yes
513,13353,Single,Female,60000.0,4,Graduate Degree,Management,Yes,2,10+ Miles,North America,61.0,Yes
514,19399,Single,Male,40000.0,0,Bachelors,Professional,No,1,2-5 Miles,North America,45.0,No
515,16154,Married,Female,70000.0,5,Bachelors,Professional,Yes,2,2-5 Miles,North America,47.0,No
516,22219,Married,Female,60000.0,2,High School,Professional,Yes,2,5-10 Miles,North America,49.0,No
517,17269,Single,Male,60000.0,3,Bachelors,Professional,No,0,0-1 Miles,North America,47.0,Yes
518,23586,Married,Female,80000.0,0,Bachelors,Management,Yes,1,1-2 Miles,North America,34.0,Yes
519,15740,Married,Male,80000.0,5,Bachelors,Management,Yes,2,1-2 Miles,North America,64.0,No
520,27638,Single,Male,100000.0,1,Partial College,Professional,No,3,1-2 Miles,North America,44.0,No
521,18976,Single,Male,40000.0,4,High School,Professional,Yes,2,10+ Miles,North America,62.0,Yes
522,19413,Single,Male,60000.0,3,Bachelors,Professional,No,1,0-1 Miles,North America,47.0,Yes
523,13283,Married,Male,80000.0,3,Partial College,Professional,No,2,0-1 Miles,North America,49.0,Yes
524,17471,Single,Female,80000.0,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,67.0,No
525,16791,Single,Male,60000.0,5,Bachelors,Management,Yes,3,10+ Miles,North America,59.0,Yes
526,15382,Married,Female,110000.0,1,Bachelors,Management,Yes,2,1-2 Miles,North America,44.0,No
527,11641,Married,Male,50000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36.0,No
528,11935,Single,Female,30000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28.0,No
529,13233,Married,Male,60000.0,2,Partial College,Professional,Yes,1,10+ Miles,North America,57.0,Yes
530,25909,Married,Male,60000.0,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27.0,Yes
531,14092,Single,Male,30000.0,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,28.0,No
532,29143,Single,Female,60000.0,1,Bachelors,Professional,No,1,0-1 Miles,North America,44.0,Yes
533,24941,Married,Male,60000.0,3,Bachelors,Management,Yes,2,10+ Miles,North America,66.0,No
534,24637,Married,Male,40000.0,4,High School,Professional,Yes,2,10+ Miles,North America,64.0,No
535,23893,Married,Male,50000.0,3,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,41.0,No
536,13907,Single,Female,80000.0,3,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,41.0,Yes
537,14900,Married,Female,40000.0,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,49.0,Yes
538,11262,Married,Female,80000.0,4,Bachelors,Management,Yes,0,0-1 Miles,North America,42.0,No
539,22294,Single,Female,70000.0,0,Bachelors,Professional,No,1,2-5 Miles,North America,37.0,Yes
540,12195,Single,Female,70000.0,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,52.0,No
541,25375,Married,Male,50000.0,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,34.0,No
542,11143,Married,Male,40000.0,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,29.0,No
543,25898,Married,Female,70000.0,2,High School,Professional,Yes,2,2-5 Miles,North America,53.0,No
544,24397,Single,Male,120000.0,2,Bachelors,Management,No,4,1-2 Miles,North America,40.0,No
545,19758,Single,Male,60000.0,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29.0,No
546,15529,Married,Male,60000.0,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43.0,Yes
547,19884,Married,Male,60000.0,2,High School,Professional,Yes,2,2-5 Miles,North America,55.0,Yes
548,18674,Single,Female,80000.0,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,48.0,No
550,14063,Single,Female,70000.0,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,42.0,Yes
551,27393,Married,Female,50000.0,4,Bachelors,Management,Yes,2,10+ Miles,North America,63.0,No
552,14417,Single,Male,60000.0,3,High School,Professional,Yes,2,10+ Miles,North America,54.0,Yes
553,17533,Married,Male,40000.0,3,Partial College,Professional,No,2,5-10 Miles,North America,73.0,Yes
555,17025,Single,Male,50000.0,0,Partial College,Skilled Manual,No,1,2-5 Miles,North America,39.0,Yes
556,25293,Married,Male,80000.0,4,Bachelors,Management,Yes,0,1-2 Miles,North America,42.0,No
